well_id,sord_id,Fluid,Well Type,Lateral Length m,Proppant tons,Fluid Pumped m3,Frac Stages,"Frac Spacing, m",Proppant tons / 100 m,Fluid Pumped m3 / 100 m,Gas Cum 90 days,Gas Cum 180 days,Gas Cum 365 days,Gas Cum 365 / 100 m
00/13-15-080-16W6/0,1W60801615130000,Gas,Horizontal,1340.5,835,3759.74,6,223.4166666667,62.2901902275,280.4729578515,222590.709070423,344187.559832168,659622.544776119,49207.2021466706
00/13-04-079-18W6/0,1W60791804130000,Gas,Horizontal,1114.5,1200,6883.8,5,222.9,107.6716016151,617.6581426649,366117.369818182,768058.900960452,1464360.5903281,131391.708418851
03/04-20-079-18W6/0,1W60791820040300,Gas,Horizontal,2450,1496.94,10529.6,11,222.7272727273,61.0995918367,429.7795918367,301480.021748526,552395.079850746,901473.756695402,36794.8472120572
00/B-060-H/093-P-09/0,2093P09H060B0000,Gas,Horizontal,1781.5,816,1276.9,8,222.6875,45.8040976705,71.6755543082,342716.484055944,612021.993189655,1081570.27070229,60711.2136234797
00/16-27-077-15W6/0,1W60771527160000,Gas,Horizontal,2226.6,1610,9676.32,10,222.66,72.3075541184,434.5782807869,709681.059333333,1377762.41547945,2649944.13497222,119013.030403854
00/10-17-079-16W6/0,1W60791617100000,Gas,Horizontal,2226.4,1589.9,6129.5,10,222.64,71.4112468559,275.3099173554,438466.55908046,657572.388101695,983761.181569444,44186.1831463099
00/C-074-A/093-P-09/0,2093P09A074C0000,Gas,Horizontal,1557.2,735,787.25,7,222.4571428571,47.2001027485,50.5554842024,159834.421020408,233164.873685152,342838.242631579,22016.3269092974
00/13-34-077-15W6/0,1W60771534130000,Gas,Horizontal,2445.9,1743,10275.19,11,222.3545454545,71.262112106,420.0985322376,683225.973392857,1322568.3568,2591074.97797829,105935.44208587
00/16-03-081-20W6/0,1W60812003160000,Gas,Horizontal,2000.5,1271.1,8227.6,9,222.2777777778,63.5391152212,411.2771807048,235262.579512894,390448.904086022,634550.320363636,31719.5861216514
00/15-12-081-21W6/0,1W60812112150000,Gas,Horizontal,2000.2,1274.49,8825.7,9,222.2444444444,63.7181281872,441.2408759124,219246.483713893,407812.630322581,793098.824285714,39650.976116674
03/15-12-081-21W6/0,1W60812112150300,Gas,Horizontal,2000.2,1286.625,7997.71,9,222.2444444444,64.3248175182,399.8455154485,470788.443203343,828357.890086207,1581658.063531,79074.9956769823
02/13-17-079-18W6/0,1W60791817130200,Gas,Horizontal,1999.7,1271.7,5883.9,9,222.1888888889,63.5945391809,294.2391358704,615228.08282243,1203652.10151863,2107346.03,105383.108966345
00/05-13-080-18W6/0,1W60801813050000,Gas,Horizontal,1777,936,4581.08,8,222.125,52.6730444569,257.7985368599,137065.421991465,219015.311418129,344301.773225806,19375.4515039846
00/05-35-080-16W6/0,1W60801635050000,Gas,Horizontal,1554.5,1210,5675.1,7,222.0714285714,77.8385332904,365.0755870055,421041.414612245,799650.792293292,1407728.01875507,90558.2514477369
03/10-12-081-21W6/0,1W60812112100300,Gas,Horizontal,1998.5,1271.91,7502.6,9,222.0555555556,63.6432324243,375.411558669,399787.973283358,687985.917725259,1452414.03419899,72675.2081160365
02/05-17-079-18W6/0,1W60791817050200,Gas,Horizontal,1998.2,1271.83,7145.5,9,222.0222222222,63.6487839055,357.5968371534,205550.142002882,342639.979836512,560756.39341394,28063.0764394925
00/01-18-079-18W6/0,1W60791818010000,Gas,Horizontal,2220.2,1363.64,8105.9,10,222.02,61.4196919196,365.0977389424,306246.897618403,559096.007524475,946846.682958748,42646.9094207165
00/06-33-079-14W6/0,1W60791433060000,Gas,Horizontal,1110,596,1299.7,5,222,53.6936936937,117.0900900901,313115.829574468,510466.636698241,835516.335007113,75271.7418925327
00/04-20-079-14W6/0,1W60791420040000,Gas,Horizontal,1108,605,1280.9,5,221.6,54.6028880866,115.6046931408,487358.277741935,1039593.744125,1855138.06609195,167431.233401801
00/12-02-082-20W6/0,1W60822002120000,Gas,Horizontal,1990.9,1178.242,13930.582,9,221.2111111111,59.1813752574,699.7127932091,577274.538623327,948082.699160839,1419859.03713126,71317.4462369411
05/11-09-080-20W6/0,1W60802009110500,Gas,Horizontal,1990.5,1240,8181.999,9,221.1666666667,62.2959055514,411.0524491334,170907.659158485,277644.616130952,451496.417298387,22682.5630393563
02/01-15-079-18W6/0,1W60791815010200,Gas,Horizontal,2208.1,1395,6765.3,10,220.81,63.1764865722,306.3855803632,366049.355219941,756122.1275,1579617.79158854,71537.420931504
